Date;Open_price_EuroUK;High_price_EuroUK;Low_price_EuroUK;Close_price_EuroUK
17-Jul-2017;0.8756;0.8797;0.8741;0.8788
14-Jul-2017;0.8809;0.8817;0.8741;0.8749
13-Jul-2017;0.8856;0.8874;0.88;0.8808
12-Jul-2017;0.8923;0.8948;0.8837;0.8857
11-Jul-2017;0.8848;0.8933;0.8812;0.8923
10-Jul-2017;0.8847;0.8859;0.883;0.8847
07-Jul-2017;0.8806;0.886;0.8794;0.8842
06-Jul-2017;0.8776;0.8817;0.8754;0.8804
05-Jul-2017;0.8777;0.8809;0.8759;0.8776
04-Jul-2017;0.8777;0.879;0.8762;0.8777
03-Jul-2017;0.8774;0.879;0.8754;0.8778
30-Jun-2017;0.8793;0.8813;0.876;0.8769
29-Jun-2017;0.8797;0.8809;0.8776;0.8794
28-Jun-2017;0.8846;0.888;0.8769;0.88
27-Jun-2017;0.8785;0.8862;0.878;0.8845
26-Jun-2017;0.8796;0.8807;0.877;0.8788
23-Jun-2017;0.8794;0.8805;0.876;0.8799
22-Jun-2017;0.8811;0.8829;0.8782;0.8791
21-Jun-2017;0.8817;0.8845;0.8768;0.8812
20-Jun-2017;0.8749;0.8834;0.8736;0.8813
19-Jun-2017;0.8756;0.8796;0.8732;0.8751
16-Jun-2017;0.8737;0.8766;0.8717;0.8755
15-Jun-2017;0.8795;0.8807;0.8721;0.8737
14-Jun-2017;0.8787;0.8835;0.8764;0.8794
13-Jun-2017;0.8845;0.8857;0.8778;0.8787
12-Jun-2017;0.8787;0.8866;0.8777;0.8848
09-Jun-2017;0.8655;0.8859;0.8655;0.8781
08-Jun-2017;0.8682;0.8698;0.8649;0.8654
07-Jun-2017;0.8734;0.8741;0.8674;0.8685
06-Jun-2017;0.8719;0.8755;0.869;0.8731
05-Jun-2017;0.8759;0.8773;0.8691;0.872
02-Jun-2017;0.8703;0.8767;0.8693;0.8747
01-Jun-2017;0.8721;0.8754;0.8682;0.87
31-May-2017;0.8697;0.8748;0.8694;0.8721
30-May-2017;0.8692;0.8706;0.8653;0.8696
29-May-2017;0.8726;0.8734;0.8689;0.8691
26-May-2017;0.8658;0.875;0.8654;0.8727
25-May-2017;0.8646;0.8667;0.8639;0.8661
24-May-2017;0.8626;0.8656;0.8599;0.8645
23-May-2017;0.8642;0.8675;0.8615;0.8625
22-May-2017;0.861;0.8651;0.8596;0.8644
19-May-2017;0.8579;0.8602;0.8566;0.8596
18-May-2017;0.8601;0.8611;0.8521;0.8576
17-May-2017;0.8581;0.8614;0.8558;0.8602
16-May-2017;0.8505;0.8594;0.8501;0.858
15-May-2017;0.8469;0.8514;0.8454;0.8505
12-May-2017;0.8427;0.8489;0.8422;0.8478
11-May-2017;0.8397;0.8451;0.8392;0.8426
10-May-2017;0.8406;0.8417;0.8381;0.8399
09-May-2017;0.8437;0.8447;0.8398;0.8404
08-May-2017;0.8468;0.8494;0.8431;0.844
05-May-2017;0.8496;0.8508;0.8463;0.8471
04-May-2017;0.8456;0.85;0.8453;0.8499
03-May-2017;0.8445;0.8476;0.8434;0.8456
02-May-2017;0.8456;0.8484;0.8421;0.8447
01-May-2017;0.8414;0.8459;0.8406;0.8455
28-Apr-2017;0.8423;0.8462;0.8401;0.8413
27-Apr-2017;0.8484;0.8495;0.8413;0.8424
26-Apr-2017;0.8506;0.8531;0.8456;0.8483
25-Apr-2017;0.849;0.8531;0.8474;0.8506
24-Apr-2017;0.8478;0.8509;0.8445;0.849
21-Apr-2017;0.8361;0.8386;0.8349;0.8373
20-Apr-2017;0.8378;0.8414;0.8356;0.8361
19-Apr-2017;0.8351;0.8389;0.8334;0.8381
18-Apr-2017;0.8469;0.8512;0.8313;0.8352
17-Apr-2017;0.8474;0.8489;0.8458;0.8467
14-Apr-2017;0.8489;0.8497;0.8465;0.8468
13-Apr-2017;0.85;0.8512;0.8471;0.8485
12-Apr-2017;0.8488;0.8511;0.8474;0.8503
11-Apr-2017;0.8535;0.8549;0.8484;0.8489
10-Apr-2017;0.8548;0.8555;0.8521;0.8531
07-Apr-2017;0.8543;0.8579;0.8527;0.8558
06-Apr-2017;0.8539;0.8567;0.8508;0.8537
05-Apr-2017;0.8577;0.8591;0.8529;0.854
04-Apr-2017;0.8541;0.8587;0.8534;0.8577
03-Apr-2017;0.8487;0.8558;0.8486;0.854
31-mars-17;0.8558;0.8596;0.8482;0.8486
30-mars-17;0.8653;0.8661;0.8553;0.8558
29-mars-17;0.8681;0.8736;0.8622;0.8654
28-mars-17;0.8648;0.8688;0.8614;0.8682
27-mars-17;0.8644;0.8687;0.8623;0.8648
24-mars-17;0.8608;0.8661;0.8606;0.8654
23-mars-17;0.8645;0.8656;0.8602;0.8611
22-mars-17;0.8661;0.8699;0.864;0.8647
21-mars-17;0.8689;0.8726;0.8646;0.8659
20-mars-17;0.8674;0.8708;0.8656;0.8688
17-mars-17;0.8708;0.8738;0.8657;0.8662
16-mars-17;0.8731;0.8759;0.8665;0.871
15-mars-17;0.8721;0.8736;0.8664;0.873
14-mars-17;0.872;0.8787;0.871;0.8721
13-mars-17;0.8777;0.8788;0.8704;0.8715
10-mars-17;0.8697;0.8782;0.8688;0.8775
09-mars-17;0.8665;0.8719;0.8653;0.8691
08-mars-17;0.8657;0.8695;0.8649;0.8661
07-mars-17;0.8646;0.8683;0.8636;0.8658
06-mars-17;0.8634;0.8669;0.8618;0.8645
03-mars-17;0.8561;0.8641;0.8555;0.864
02-mars-17;0.8576;0.859;0.8545;0.8562
01-mars-17;0.8538;0.8587;0.8506;0.8574
28-Feb-2017;0.8505;0.8549;0.8501;0.854
27-Feb-2017;0.8476;0.8539;0.8459;0.8507
