Date;Open_price_EuroUS;High_price_EuroUS;Low_price_EuroUS;Close_price_EuroUS
17-Jul-2017;1.1462;1.1487;1.1433;1.1478
14-Jul-2017;1.1398;1.1471;1.139;1.1467
13-Jul-2017;1.1409;1.1455;1.1369;1.1395
12-Jul-2017;1.1465;1.1489;1.139;1.141
11-Jul-2017;1.1397;1.1479;1.1381;1.1465
10-Jul-2017;1.139;1.1417;1.138;1.1399
07-Jul-2017;1.1422;1.1439;1.1378;1.14
06-Jul-2017;1.135;1.1424;1.1328;1.1422
05-Jul-2017;1.1344;1.1368;1.1311;1.1352
04-Jul-2017;1.1363;1.1376;1.1335;1.1342
03-Jul-2017;1.1418;1.1427;1.1353;1.136
30-Jun-2017;1.1439;1.1445;1.139;1.1423
29-Jun-2017;1.1375;1.1445;1.1372;1.144
28-Jun-2017;1.1337;1.139;1.129;1.1376
27-Jun-2017;1.1181;1.1349;1.1176;1.1337
26-Jun-2017;1.1199;1.1219;1.117;1.1179
23-Jun-2017;1.115;1.1209;1.1143;1.1192
22-Jun-2017;1.1165;1.1177;1.1138;1.115
21-Jun-2017;1.1131;1.1169;1.1126;1.1166
20-Jun-2017;1.1147;1.1165;1.1117;1.1134
19-Jun-2017;1.1198;1.1213;1.1141;1.1148
16-Jun-2017;1.1142;1.1201;1.1137;1.1197
15-Jun-2017;1.1217;1.1229;1.113;1.1143
14-Jun-2017;1.1209;1.1295;1.119;1.1217
13-Jun-2017;1.1202;1.1224;1.1183;1.1214
12-Jun-2017;1.1193;1.1232;1.119;1.12
09-Jun-2017;1.1213;1.1237;1.1165;1.1192
08-Jun-2017;1.1255;1.1268;1.1193;1.1212
07-Jun-2017;1.1275;1.1282;1.1203;1.1255
06-Jun-2017;1.1251;1.1283;1.1238;1.1275
05-Jun-2017;1.1277;1.1283;1.1233;1.1252
02-Jun-2017;1.1211;1.1285;1.1203;1.128
01-Jun-2017;1.124;1.1256;1.1201;1.1211
31-May-2017;1.1184;1.1252;1.1163;1.1241
30-May-2017;1.1163;1.1205;1.1108;1.1183
29-May-2017;1.1177;1.119;1.1159;1.1164
26-May-2017;1.121;1.1234;1.1158;1.1182
25-May-2017;1.1217;1.125;1.1192;1.1209
24-May-2017;1.1182;1.122;1.1167;1.1217
23-May-2017;1.1235;1.1267;1.1172;1.1182
22-May-2017;1.12;1.1263;1.116;1.1236
19-May-2017;1.11;1.1211;1.1094;1.1204
18-May-2017;1.1158;1.1171;1.1073;1.1101
17-May-2017;1.1082;1.1162;1.1078;1.1158
16-May-2017;1.0975;1.1097;1.0971;1.1082
15-May-2017;1.0924;1.0989;1.092;1.0973
12-May-2017;1.086;1.0934;1.0854;1.0928
11-May-2017;1.0868;1.0893;1.0838;1.0861
10-May-2017;1.0872;1.0898;1.0851;1.0866
09-May-2017;1.0922;1.0933;1.0861;1.0872
08-May-2017;1.0996;1.1022;1.0915;1.0922
05-May-2017;1.0988;1.1;1.0948;1.0995
04-May-2017;1.0884;1.0987;1.0873;1.0984
03-May-2017;1.0927;1.0936;1.088;1.0882
02-May-2017;1.0898;1.0933;1.0886;1.0927
01-May-2017;1.0905;1.0923;1.0882;1.0898
28-Apr-2017;1.0875;1.0947;1.0855;1.0895
27-Apr-2017;1.0902;1.0932;1.085;1.0872
26-Apr-2017;1.0924;1.095;1.0855;1.0903
25-Apr-2017;1.0867;1.095;1.085;1.0925
24-Apr-2017;1.0889;1.0935;1.0819;1.0867
21-Apr-2017;1.0717;1.0737;1.068;1.0726
20-Apr-2017;1.0708;1.0777;1.0706;1.0714
19-Apr-2017;1.0728;1.0736;1.0698;1.0709
18-Apr-2017;1.0642;1.0736;1.0635;1.0732
17-Apr-2017;1.0612;1.067;1.06;1.064
14-Apr-2017;1.0613;1.063;1.0604;1.0609
13-Apr-2017;1.0662;1.0677;1.0607;1.0612
12-Apr-2017;1.0604;1.0675;1.0587;1.0664
11-Apr-2017;1.0594;1.063;1.0577;1.0602
10-Apr-2017;1.059;1.0606;1.0568;1.0593
07-Apr-2017;1.0642;1.0666;1.0578;1.0588
06-Apr-2017;1.0661;1.0684;1.0627;1.0642
05-Apr-2017;1.0671;1.0689;1.0632;1.0662
04-Apr-2017;1.0667;1.0677;1.0634;1.0672
03-Apr-2017;1.0658;1.0681;1.0641;1.0668
31-mars-17;1.0672;1.0702;1.0649;1.0649
30-mars-17;1.0764;1.077;1.0669;1.0674
29-mars-17;1.081;1.0826;1.0738;1.0766
28-mars-17;1.0863;1.0872;1.0796;1.0812
27-mars-17;1.0796;1.0904;1.0794;1.0864
24-mars-17;1.0782;1.0818;1.0759;1.0797
23-mars-17;1.0794;1.0804;1.0766;1.078
22-mars-17;1.0808;1.0825;1.0774;1.0795
21-mars-17;1.0737;1.0819;1.0717;1.0808
20-mars-17;1.0738;1.0777;1.0723;1.0737
17-mars-17;1.0763;1.0782;1.0726;1.0736
16-mars-17;1.0732;1.077;1.0704;1.0764
15-mars-17;1.0602;1.074;1.0601;1.0732
14-mars-17;1.0653;1.0662;1.0597;1.0602
13-mars-17;1.0671;1.0714;1.0649;1.0653
10-mars-17;1.0574;1.0699;1.0569;1.0669
09-mars-17;1.0539;1.0615;1.0523;1.0575
08-mars-17;1.0564;1.0574;1.0533;1.0539
07-mars-17;1.0582;1.0602;1.0556;1.0565
06-mars-17;1.0614;1.064;1.0572;1.0578
03-mars-17;1.0505;1.0623;1.0499;1.062
02-mars-17;1.0546;1.0551;1.0492;1.0506
01-mars-17;1.0573;1.0588;1.0513;1.0546
28-Feb-2017;1.0585;1.063;1.0568;1.0575
27-Feb-2017;1.056;1.063;1.0549;1.0585
24-Feb-2017;1.058;1.0617;1.0554;1.056
23-Feb-2017;1.0555;1.0595;1.0536;1.0579
22-Feb-2017;1.0533;1.0573;1.0492;1.0555
21-Feb-2017;1.0609;1.0616;1.0524;1.0535
20-Feb-2017;1.0614;1.0633;1.0601;1.0609
17-Feb-2017;1.0672;1.0676;1.0602;1.0611
16-Feb-2017;1.0598;1.068;1.0586;1.0672
15-Feb-2017;1.0574;1.0608;1.052;1.0598
14-Feb-2017;1.0596;1.0633;1.0559;1.0577
13-Feb-2017;1.0632;1.0657;1.059;1.0597
10-Feb-2017;1.0655;1.0667;1.0606;1.0638
09-Feb-2017;1.0697;1.0709;1.0648;1.0654
08-Feb-2017;1.0681;1.0713;1.0638;1.0697
07-Feb-2017;1.0749;1.075;1.0653;1.068
06-Feb-2017;1.078;1.08;1.0702;1.0749
03-Feb-2017;1.0756;1.0797;1.0711;1.0781
02-Feb-2017;1.0766;1.0828;1.0752;1.0758
01-Feb-2017;1.0796;1.0808;1.0729;1.0767
31-janv-17;1.0692;1.0811;1.0681;1.0795
30-janv-17;1.0689;1.074;1.0617;1.0692
27-janv-17;1.068;1.0724;1.0656;1.0694
26-janv-17;1.0744;1.0765;1.0655;1.068
25-janv-17;1.073;1.0769;1.0709;1.0744
24-janv-17;1.0762;1.0774;1.0717;1.073
23-janv-17;1.0683;1.0769;1.0682;1.0761
20-janv-17;1.0663;1.0709;1.0623;1.0699
19-janv-17;1.0628;1.0676;1.0587;1.0663
18-janv-17;1.0712;1.0715;1.0624;1.063
17-janv-17;1.0598;1.0718;1.0593;1.0712
16-janv-17;1.0615;1.0635;1.0577;1.06
13-janv-17;1.0609;1.0671;1.0595;1.0641
12-janv-17;1.058;1.0684;1.057;1.061
11-janv-17;1.0554;1.0622;1.0452;1.058
10-janv-17;1.0571;1.0626;1.0549;1.0553
09-janv-17;1.0537;1.0582;1.0508;1.0572
06-janv-17;1.0603;1.0621;1.052;1.053
05-janv-17;1.0489;1.0615;1.0478;1.0603
04-janv-17;1.0403;1.0499;1.0387;1.0486
03-janv-17;1.0453;1.049;1.0339;1.0404
02-janv-17;1.0529;1.0532;1.0446;1.0457
30-Dec-2016;1.0489;1.0651;1.0479;1.0513
29-Dec-2016;1.0416;1.0493;1.0404;1.049
28-Dec-2016;1.0454;1.0479;1.0369;1.0407
27-Dec-2016;1.0451;1.0463;1.0429;1.0455
26-Dec-2016;1.0451;1.047;1.0436;1.0453
23-Dec-2016;1.0435;1.0467;1.0424;1.0454
