Date;Open_Price_USJPY;High_Price_USJPY;Low_Price_USJPY;Close_Price_USJPY
17-Jul-2017;112.49;112.86;112.3;112.62
14-Jul-2017;113.26;113.57;112.24;112.5
13-Jul-2017;113.15;113.52;112.85;113.27
12-Jul-2017;113.92;113.96;112.9;113.13
11-Jul-2017;114.03;114.49;113.7;113.92
10-Jul-2017;113.96;114.29;113.84;114.03
07-Jul-2017;113.18;114.17;113.07;113.88
06-Jul-2017;113.25;113.46;112.87;113.2
05-Jul-2017;113.26;113.68;112.8;113.25
04-Jul-2017;113.36;113.46;112.71;113.26
03-Jul-2017;112.12;113.47;111.92;113.37
30-Jun-2017;112.16;112.59;111.71;112.35
29-Jun-2017;112.29;112.92;111.79;112.16
28-Jun-2017;112.34;112.41;111.81;112.28
27-Jun-2017;111.86;112.46;111.44;112.34
26-Jun-2017;111.1;111.93;111.1;111.83
23-Jun-2017;111.32;111.42;111.13;111.26
22-Jun-2017;111.34;111.44;110.92;111.32
21-Jun-2017;111.44;111.72;111.04;111.37
20-Jun-2017;111.5;111.78;111.28;111.42
19-Jun-2017;110.82;111.6;110.73;111.51
16-Jun-2017;110.9;111.41;110.62;110.84
15-Jun-2017;109.54;110.97;109.25;110.91
14-Jun-2017;110.05;110.34;108.81;109.56
13-Jun-2017;109.93;110.26;109.8;110.05
12-Jun-2017;110.35;110.43;109.6;109.92
09-Jun-2017;109.99;110.8;109.73;110.33
08-Jun-2017;109.8;110.38;109.36;109.97
07-Jun-2017;109.41;109.88;109.09;109.79
06-Jun-2017;110.44;110.51;109.2;109.4
05-Jun-2017;110.34;110.72;110.23;110.45
02-Jun-2017;111.33;111.71;110.3;110.4
01-Jun-2017;110.75;111.47;110.65;111.34
31-May-2017;110.83;111.22;110.45;110.75
30-May-2017;111.24;111.32;110.64;110.82
29-May-2017;111.3;111.46;111.14;111.24
26-May-2017;111.82;111.86;110.85;111.31
25-May-2017;111.47;111.94;111.46;111.82
24-May-2017;111.75;112.11;111.45;111.49
23-May-2017;111.29;111.85;110.84;111.77
22-May-2017;111.3;111.6;110.87;111.27
19-May-2017;111.47;111.69;111.02;111.26
18-May-2017;110.81;111.71;110.21;111.47
17-May-2017;113.11;113.12;110.76;110.8
16-May-2017;113.77;113.79;112.9;113.11
15-May-2017;113.18;113.85;113.09;113.77
12-May-2017;113.84;113.95;113.17;113.33
11-May-2017;114.28;114.36;113.44;113.84
10-May-2017;113.97;114.35;113.61;114.27
09-May-2017;113.24;114.32;113.11;113.98
08-May-2017;112.97;113.29;112.36;113.24
05-May-2017;112.44;112.81;112.06;112.71
04-May-2017;112.73;113.04;112.29;112.45
03-May-2017;111.98;112.77;111.93;112.73
02-May-2017;111.83;112.3;111.75;111.96
01-May-2017;111.29;111.92;111.18;111.83
28-Apr-2017;111.23;111.71;111.04;111.53
27-Apr-2017;111.05;111.59;110.99;111.25
26-Apr-2017;111.08;111.77;110.85;111.03
25-Apr-2017;109.75;111.18;109.57;111.08
24-Apr-2017;110.24;110.62;109.63;109.75
21-Apr-2017;109.31;109.42;108.85;109.07
20-Apr-2017;108.84;109.48;108.69;109.31
19-Apr-2017;108.4;109.17;108.35;108.85
18-Apr-2017;108.89;109.21;108.29;108.4
17-Apr-2017;108.66;109.05;108.11;108.89
14-Apr-2017;109.06;109.22;108.52;108.61
13-Apr-2017;109;109.39;108.7;109.08
12-Apr-2017;109.6;109.86;108.93;109
11-Apr-2017;110.92;110.95;109.58;109.6
10-Apr-2017;111.09;111.57;110.78;110.93
07-Apr-2017;110.79;111.36;110.11;111.05
06-Apr-2017;110.68;111.13;110.27;110.8
05-Apr-2017;110.74;111.44;110.51;110.68
04-Apr-2017;110.87;110.94;110.24;110.72
03-Apr-2017;111.38;111.58;110.82;110.87
31-mars-17;111.9;112.19;111.21;111.38
30-mars-17;111.03;111.94;110.91;111.89
29-mars-17;111.12;111.31;110.69;111.03
28-mars-17;110.65;111.19;110.15;111.12
27-mars-17;111.22;111.26;110.09;110.65
24-mars-17;110.93;111.48;110.6;111.33
23-mars-17;111.15;111.57;110.6;110.93
22-mars-17;111.69;111.79;110.71;111.14
21-mars-17;112.53;112.86;111.53;111.71
20-mars-17;112.69;112.89;112.44;112.55
17-mars-17;113.3;113.49;112.53;112.7
16-mars-17;113.35;113.54;112.89;113.3
15-mars-17;114.72;114.88;113.15;113.35
14-mars-17;114.86;115.19;114.49;114.73
13-mars-17;114.8;114.92;114.46;114.87
10-mars-17;114.93;115.5;114.62;114.74
09-mars-17;114.34;114.99;114.29;114.91
08-mars-17;113.96;114.74;113.58;114.32
07-mars-17;113.87;114.14;113.7;113.96
06-mars-17;114;114.13;113.53;113.87
03-mars-17;114.39;114.74;113.81;113.99
02-mars-17;113.72;114.59;113.66;114.38
01-mars-17;112.76;114.04;112.71;113.71
28-Feb-2017;112.69;112.88;111.67;112.75
27-Feb-2017;112.07;112.83;111.89;112.67
24-Feb-2017;112.6;112.95;111.91;112.18
23-Feb-2017;113.28;113.45;112.53;112.57
22-Feb-2017;113.69;113.72;112.88;113.27
21-Feb-2017;113.06;113.77;113.06;113.67
20-Feb-2017;112.83;113.23;112.75;113.07
17-Feb-2017;113.22;113.5;112.58;112.85
16-Feb-2017;114.14;114.33;113.06;113.2
15-Feb-2017;114.22;114.95;113.83;114.15
14-Feb-2017;113.72;114.49;113.21;114.25
13-Feb-2017;113.31;114.16;113.26;113.73
10-Feb-2017;113.22;113.85;112.84;113.19
09-Feb-2017;111.93;113.34;111.7;113.22
08-Feb-2017;112.35;112.54;111.61;111.93
07-Feb-2017;111.73;112.57;111.57;112.37
06-Feb-2017;112.39;112.77;111.6;111.71
03-Feb-2017;112.77;113.45;112.28;112.7
02-Feb-2017;113.24;113.36;112.03;112.8
01-Feb-2017;112.79;113.95;112.61;113.23
31-janv-17;113.73;113.96;112.04;112.78
30-janv-17;115.08;115.13;113.43;113.76
27-janv-17;114.51;115.37;114.37;115.06
26-janv-17;113.26;114.85;113.02;114.52
25-janv-17;113.77;113.98;113.01;113.27
24-janv-17;112.69;113.89;112.49;113.78
23-janv-17;114.35;114.43;112.66;112.68
20-janv-17;114.85;115.38;114.19;114.6
19-janv-17;114.62;115.61;114.37;114.86
18-janv-17;112.6;114.75;112.55;114.65
17-janv-17;114.18;114.28;112.58;112.62
16-janv-17;114.53;114.53;113.65;114.18
13-janv-17;114.7;115.44;114.18;114.51
12-janv-17;115.4;115.51;113.73;114.7
11-janv-17;115.77;116.85;114.23;115.4
10-janv-17;116.01;116.34;115.18;115.76
09-janv-17;116.89;117.52;115.96;116.01
06-janv-17;115.34;117.18;115.04;116.91
05-janv-17;117.24;117.43;115.2;115.34
04-janv-17;117.74;118.17;117.02;117.24
03-janv-17;117.53;118.6;117.19;117.74
02-janv-17;116.91;117.67;116.71;117.51
30-Dec-2016;116.53;117.19;116.02;116.87
29-Dec-2016;117.23;117.25;116.19;116.53
28-Dec-2016;117.39;117.81;117.03;117.24
27-Dec-2016;117.06;117.61;117.04;117.39
26-Dec-2016;117.36;117.38;116.97;117.07
23-Dec-2016;117.51;117.63;117.14;117.31
22-Dec-2016;117.55;117.87;117.23;117.51
21-Dec-2016;117.83;118.06;117.07;117.54
20-Dec-2016;117.07;118.24;116.95;117.84
19-Dec-2016;117.87;118.01;116.52;117.07
16-Dec-2016;118.17;118.42;117.44;117.98
15-Dec-2016;117.03;118.66;116.96;118.16
14-Dec-2016;115.16;117.38;114.74;117.03
13-Dec-2016;115.01;115.47;114.71;115.16
12-Dec-2016;115.22;116.12;114.82;115.02
09-Dec-2016;114;115.36;113.96;115.36
08-Dec-2016;113.71;114.36;113.11;114.01
07-Dec-2016;113.99;114.39;113.38;113.75
06-Dec-2016;113.84;114.18;113.46;113.98
05-Dec-2016;113.52;114.77;112.84;113.82
02-Dec-2016;114.06;114.21;113.29;113.54
01-Dec-2016;114.44;114.82;113.79;114.08
30-nov-16;112.38;114.53;112.02;114.44
29-nov-16;111.91;113.33;111.58;112.36
28-nov-16;113.03;113.11;111.32;111.92
25-nov-16;113.32;113.89;112.53;113.06
24-nov-16;112.48;113.53;112.34;113.29
23-nov-16;111.09;112.97;110.81;112.5
22-nov-16;110.8;111.35;110.23;111.12
21-nov-16;110.89;111.36;110.42;110.79
18-nov-16;110.09;110.94;109.76;110.91
17-nov-16;109.04;110.17;108.51;110.08
16-nov-16;109.17;109.75;108.76;109.06
15-nov-16;108.4;109.33;107.74;109.15
14-nov-16;106.53;108.54;106.51;108.41
11-nov-16;106.81;106.93;106;106.67
10-nov-16;105.65;106.94;104.95;106.81
09-nov-16;105.12;105.89;101.15;105.65
08-nov-16;104.44;105.2;104.27;105.14
07-nov-16;103.12;104.63;103.08;104.45
04-nov-16;102.96;103.35;102.81;103.12
03-nov-16;103.29;103.44;102.54;102.97
02-nov-16;104.12;104.17;102.99;103.29
01-nov-16;104.81;105.11;103.78;104.12
31-oct-16;104.68;105.22;104.24;104.81
28-oct-16;105.27;105.53;104.46;104.69
27-oct-16;104.45;105.34;104.27;105.28
26-oct-16;104.21;104.61;103.99;104.46
25-oct-16;104.17;104.87;104.09;104.22
24-oct-16;103.84;104.32;103.69;104.17
21-oct-16;103.92;104.2;103.5;103.8
20-oct-16;103.43;104.1;103.32;103.94
19-oct-16;103.84;103.94;103.15;103.44
18-oct-16;103.87;104.2;103.65;103.85
17-oct-16;104.05;104.39;103.76;103.89
14-oct-16;103.69;104.47;103.58;104.18
13-oct-16;104.21;104.62;103.32;103.68
12-oct-16;103.49;104.48;103.25;104.18
11-oct-16;103.59;104.07;103.14;103.5
10-oct-16;103.07;103.78;102.78;103.58
07-oct-16;103.92;104.03;102.84;102.9
06-oct-16;103.48;104.15;103.32;103.93
05-oct-16;102.87;103.66;102.65;103.49
04-oct-16;101.62;102.96;101.54;102.88
03-oct-16;101.35;101.65;101.19;101.61
30-sept-16;101.02;101.75;100.73;101.33
29-sept-16;100.67;101.84;100.62;101.01
28-sept-16;100.41;100.81;100.23;100.65
27-sept-16;100.31;100.98;100.07;100.43
26-sept-16;101.03;101.1;100.22;100.32
23-sept-16;100.73;101.24;100.65;100.98
22-sept-16;100.31;100.92;100.07;100.73
21-sept-16;101.7;102.78;100.28;100.29
20-sept-16;101.93;102.06;101.52;101.69
19-sept-16;102.21;102.41;101.56;101.92
16-sept-16;102.07;102.46;101.72;102.28
15-sept-16;102.41;102.74;101.92;102.09
14-sept-16;102.54;103.34;102.22;102.4
13-sept-16;101.85;102.74;101.4;102.53
12-sept-16;102.67;102.79;101.54;101.84
09-sept-16;102.47;103.05;101.95;102.68
